Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	467.784960	5492	13.69381691085707370391	7.21670145653475264991	0.00075151478616490638
	469.190912	5492	13.69969150322054125477	7.21978024441354052868	0.00224126759412259120
	470.596864	5493	13.70556612982033455137	7.22285903229232840745	0.00000375355720085512
	472.003072	5493	13.71144079067500928630	7.22593782017111628622	-0.00211044290654519755
	473.409280	5492	13.71731548580311781625	7.22901660804990416499	-0.00025073739106115505
	474.815232	5492	13.72319021522320918374	7.23209539592869204375	0.00173241926263930542
	476.221184	5492	13.72906497895382913962	7.23517418380747992252	0.00383909381925581627
	477.627136	5493	13.73493977701352012147	7.23825297168626780129	0.00221883541399694803
	479.033344	5493	13.74081460942082126044	7.24133175956505568006	0.00072222840530849520
	480.439552	5493	13.74668947619426840733	7.24441054744384355926	-0.00065066047775137950
	481.845760	5493	13.75256437735239419245	7.24748933532263143803	-0.00189976451771707607
	483.251968	5493	13.75843931291372791454	7.25056812320141931679	-0.00302501700910691453
	484.658176	5492	13.76431428289679566139	7.25364691108020719556	-0.00017583364044356895
	486.064128	5492	13.77018928732012024649	7.25672569895899507433	0.00279733465283594516
